iter	Passed	Remaining
0	7	1434
1	18	1821
2	29	1910
3	42	2061
4	53	2080
5	58	1893
6	61	1708
7	65	1580
8	71	1516
9	79	1515
10	95	1639
11	102	1602
12	111	1597
13	117	1557
14	126	1559
15	129	1488
16	133	1441
17	137	1390
18	145	1382
19	152	1373
20	161	1375
21	167	1356
22	170	1312
23	176	1294
24	183	1281
25	188	1262
26	190	1221
27	194	1196
28	197	1162
29	199	1127
30	203	1108
31	206	1085
32	211	1070
33	213	1041
34	217	1024
35	219	1001
36	222	980
37	226	967
38	230	949
39	234	937
40	237	920
41	242	911
42	248	907
43	252	894
44	254	877
45	261	876
46	267	869
47	269	853
48	274	844
49	279	838
50	284	831
51	288	822
52	293	814
53	299	809
54	303	799
55	307	790
56	311	781
57	316	774
58	323	772
59	327	763
60	334	762
61	338	754
62	343	747
63	348	740
64	354	736
65	366	744
66	370	735
67	376	731
68	383	728
69	385	716
70	387	703
71	389	692
72	392	682
73	394	671
74	397	663
75	399	652
76	403	644
77	406	635
78	409	626
79	412	618
80	415	611
81	418	601
82	422	595
83	424	586
84	426	577
85	429	569
86	432	561
87	434	552
88	437	545
89	439	537
90	446	534
91	450	528
92	454	523
93	457	515
94	459	507
95	463	501
96	465	494
97	469	488
98	473	483
99	476	476
100	479	469
101	480	462
102	486	458
103	488	450
104	490	443
105	493	437
106	497	431
107	499	425
108	502	419
109	505	413
110	507	406
111	511	401
112	513	395
113	515	388
114	519	384
115	521	377
116	522	370
117	524	364
118	526	358
119	528	352
120	529	346
121	531	339
122	534	334
123	536	328
124	537	322
125	539	316
126	540	310
127	543	305
128	544	299
129	545	293
130	547	288
131	549	282
132	550	277
133	552	271
134	553	266
135	554	261
136	556	256
137	559	251
138	560	245
139	561	240
140	563	235
141	565	230
142	566	225
143	567	220
144	569	215
145	570	211
146	572	206
147	574	201
148	575	197
149	577	192
150	578	187
151	580	183
152	582	178
153	583	174
154	584	169
155	586	165
156	588	161
157	590	156
158	591	152
159	593	148
160	594	144
161	596	139
162	598	135
163	599	131
164	601	127
165	602	123
166	604	119
167	605	115
168	607	111
169	608	107
170	610	103
171	611	99
172	613	95
173	614	91
174	615	87
175	617	84
176	618	80
177	620	76
178	622	72
179	623	69
180	624	65
181	626	61
182	627	58
183	629	54
184	630	51
185	632	47
186	633	44
187	635	40
188	636	37
189	638	33
190	639	30
191	640	26
192	642	23
193	643	19
194	645	16
195	646	13
196	648	9
197	650	6
198	651	3
199	653	0
92	3
199	794	0
