feature,importance
grid_position,0.08979857050032491
avg_grid_pos,0.04925276153346332
avg_const_finish,0.029109811565951958
Q2_sec,0.006887589343729727
avg_finish_pos,0.005847953216374302
Q1_sec,0.004418453541260603
Q3_sec,0.0035087719298245723
month,0.002599090318388586
circuit_country,0.0006497725795971965
driver_rank_prev,2.2204460492503132e-17
weekday,0.0
air_temperature,0.0
grid_diff,0.0
track_temperature,0.0
grid_temp_int,0.0
Q3_diff,0.0
driver_points_prev,0.0
constructor_points_prev,0.0
constructor_rank_prev,0.0
circuit_city,0.0
