feature,importance_mean,importance_std
grid_position,0.08788135593220336,0.008013293322035655
month,0.01084745762711864,0.0015064736300534909
Q3_sec,0.0072881355932203126,0.0007767077449077597
circuit_country,0.006186440677966099,0.0008516843746712644
circuit_city,0.006186440677966076,0.000851684374671238
Q2_sec,0.004152542372881341,0.0007039511748236007
team_qual_gap,0.0031355932203389614,0.001564930958696553
weighted_overtakes_per_lap,0.003050847457627104,0.0008642405955242002
ewma_overtakes_per_lap,0.0022881355932203085,0.0008516843746712612
ewma_weighted_overtakes_per_lap,0.0017796610169491412,0.0008847717380432886
Q1_sec,0.0015254237288135242,0.0005084745762712117
avg_finish_pos,0.0006779661016948823,0.002564872194986692
weighted_overtakes,0.0005084745762711674,0.001976593862659415
overtakes_per_lap,0.00025423728813557257,0.000851684374671259
Q3_diff,0.0,0.0
grid_diff,0.0,0.0
avg_const_finish,-0.000847457627118664,0.0032158755866119044
finish_rate_prev5,-0.002118644067796616,0.003620340570049801
avg_grid_pos,-0.005338983050847479,0.00474954449803458
