feature,importance_mean,importance_std
grid_position,0.09118644067796608,0.0053891908798592
avg_grid_pos,0.02864406779661015,0.00843039329860737
avg_const_finish,0.007033898305084718,0.0017388376719223054
month,0.0064406779661016714,0.0014775928622171783
avg_finish_pos,0.0055932203389830295,0.0033083425925327517
circuit_country,0.004322033898305033,0.0013372655794965666
Q2_sec,0.0033050847457626875,0.0005932203389830376
overtakes_per_lap,0.0018644067796609986,0.0013018891098082602
circuit_city,0.0015254237288135353,0.0007387964311086026
team_qual_gap,0.0015254237288135132,0.002701250415340559
Q3_sec,0.001355932203389798,0.0009436888750559569
Q1_sec,0.00025423728813555034,0.0014702840316014867
ewma_weighted_overtakes_per_lap,0.0,0.0
grid_diff,0.0,0.0
Q3_diff,0.0,0.0
ewma_overtakes_per_lap,0.0,0.0
weighted_overtakes_per_lap,-0.0016101694915254706,0.0012824360974933696
weighted_overtakes,-0.0019491525423729118,0.00151834515823466
finish_rate_prev5,-0.003728813559322075,0.003793733777220234
