feature,importance_mean,importance_std
grid_position,0.05161016949152549,0.005419092297880733
avg_grid_pos,0.026525423728813613,0.0034329879831405314
finish_rate_prev5,0.010000000000000042,0.002805583958855389
Q1_sec,0.0033898305084746226,0.000847457627118664
grid_diff,0.0018644067796610652,0.0018096742800053284
team_qual_gap,0.0008474576271186862,0.0006564378552894254
avg_finish_pos,0.0006779661016949823,0.002727707955835766
Q2_sec,0.0,0.0
Q3_diff,0.0,0.0
Q3_sec,0.0,0.0
month,0.0,0.0
ewma_overtakes_per_lap,0.0,0.0
weighted_overtakes,0.0,0.0
overtakes_per_lap,0.0,0.0
weighted_overtakes_per_lap,0.0,0.0
circuit_country,0.0,0.0
ewma_weighted_overtakes_per_lap,0.0,0.0
circuit_city,0.0,0.0
avg_const_finish,-8.474576271185751e-05,0.00025423728813557257
