season,round,url,raceName,date,time,Circuit.circuitId,Circuit.url,Circuit.circuitName,Circuit.Location.lat,Circuit.Location.long,Circuit.Location.locality,Circuit.Location.country,FirstPractice.date,FirstPractice.time,SecondPractice.date,SecondPractice.time,ThirdPractice.date,ThirdPractice.time,Qualifying.date,Qualifying.time,Sprint.date,Sprint.time,source,SprintShootout.date,SprintShootout.time,SprintQualifying.date,SprintQualifying.time
2022,1,https://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,Bahrain Grand Prix,2022-03-20,15:00:00Z,bahrain,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-18,12:00:00Z,2022-03-18,15:00:00Z,2022-03-19,12:00:00Z,2022-03-19,15:00:00Z,,,races,,,,
2022,2,https://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,2022-03-27,17:00:00Z,jeddah,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-25,14:00:00Z,2022-03-25,17:00:00Z,2022-03-26,14:00:00Z,2022-03-26,17:00:00Z,,,races,,,,
2022,3,https://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,Australian Grand Prix,2022-04-10,05:00:00Z,albert_park,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-08,03:00:00Z,2022-04-08,06:00:00Z,2022-04-09,03:00:00Z,2022-04-09,06:00:00Z,,,races,,,,
2022,4,https://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix,Emilia Romagna Grand Prix,2022-04-24,13:00:00Z,imola,https://en.wikipedia.org/wiki/Imola_Circuit,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,2022-04-22,11:30:00Z,2022-04-23,10:30:00Z,,,2022-04-22,15:00:00Z,2022-04-23,14:30:00Z,races,,,,
2022,5,https://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,Miami Grand Prix,2022-05-08,19:30:00Z,miami,https://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,25.9581,-80.2389,Miami,USA,2022-05-06,18:30:00Z,2022-05-06,21:30:00Z,2022-05-07,17:00:00Z,2022-05-07,20:00:00Z,,,races,,,,
2022,6,https://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,Spanish Grand Prix,2022-05-22,13:00:00Z,catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,2022-05-20,12:00:00Z,2022-05-20,15:00:00Z,2022-05-21,11:00:00Z,2022-05-21,14:00:00Z,,,races,,,,
2022,7,https://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,Monaco Grand Prix,2022-05-29,13:00:00Z,monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,2022-05-27,12:00:00Z,2022-05-27,15:00:00Z,2022-05-28,11:00:00Z,2022-05-28,14:00:00Z,,,races,,,,
2022,8,https://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,2022-06-12,11:00:00Z,baku,https://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan,2022-06-10,11:00:00Z,2022-06-10,14:00:00Z,2022-06-11,11:00:00Z,2022-06-11,14:00:00Z,,,races,,,,
2022,9,https://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,Canadian Grand Prix,2022-06-19,18:00:00Z,villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,2022-06-17,18:00:00Z,2022-06-17,21:00:00Z,2022-06-18,17:00:00Z,2022-06-18,20:00:00Z,,,races,,,,
2022,10,https://en.wikipedia.org/wiki/2022_British_Grand_Prix,British Grand Prix,2022-07-03,14:00:00Z,silverstone,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,2022-07-01,12:00:00Z,2022-07-01,15:00:00Z,2022-07-02,11:00:00Z,2022-07-02,14:00:00Z,,,races,,,,
