Metric,Value
CV ROC AUC,0.9282666742292852
Test ROC AUC,0.9340847513955309
Mean Abs Error,0.1299174456879304
PR AUC,0.682954911119858
LC 88 Train ROC AUC,0.9898648648648649
LC 88 Val ROC AUC,0.8981999799013762
LC 286 Train ROC AUC,0.9989857076994006
LC 286 Val ROC AUC,0.8968822884639597
LC 484 Train ROC AUC,0.9992419248516811
LC 484 Val ROC AUC,0.9203748721964136
LC 682 Train ROC AUC,0.9998807109626625
LC 682 Val ROC AUC,0.9180465576237458
LC 880 Train ROC AUC,0.9999797439637013
LC 880 Val ROC AUC,0.9078973190760665
