Metric,Value
CV ROC AUC,0.9309896371120182
Test ROC AUC,0.9271563839554782
Mean Abs Error,0.144526379389012
PR AUC,0.6436650876238369
LC 88 Train ROC AUC,0.9864864864864863
LC 88 Val ROC AUC,0.6113798506623508
LC 286 Train ROC AUC,0.9801751959428309
LC 286 Val ROC AUC,0.8725647119361074
LC 484 Train ROC AUC,0.968358602504944
LC 484 Val ROC AUC,0.9170206134922605
LC 682 Train ROC AUC,0.9654061791721343
LC 682 Val ROC AUC,0.921884752554649
LC 880 Train ROC AUC,0.961797115540431
LC 880 Val ROC AUC,0.9226315926590211
