Metric,Value
CV ROC AUC,0.9203257918552037
Test ROC AUC,0.9290747549019608
Mean Abs Error,0.15909600371471866
PR AUC,0.6530359850591807
LC 24 Train ROC AUC,0.984126984126984
LC 24 Val ROC AUC,0.7746900388507895
LC 78 Train ROC AUC,0.9785353535353535
LC 78 Val ROC AUC,0.8847591143737189
LC 132 Train ROC AUC,0.9808035714285716
LC 132 Val ROC AUC,0.9173383721304613
LC 186 Train ROC AUC,0.9890519450267877
LC 186 Val ROC AUC,0.9153189628341758
LC 240 Train ROC AUC,0.9916938997821351
LC 240 Val ROC AUC,0.9106024018802923
