Metric,Value
CV ROC AUC,0.9298020504239105
Test ROC AUC,0.9312739746861112
Mean Abs Error,0.18764211624781435
PR AUC,0.6647289467960422
LC 88 Train ROC AUC,0.9999999999999998
LC 88 Val ROC AUC,0.8741152165256711
LC 286 Train ROC AUC,0.9996311664361459
LC 286 Val ROC AUC,0.8830815561819065
LC 484 Train ROC AUC,0.9994726433750823
LC 484 Val ROC AUC,0.911206035987008
LC 682 Train ROC AUC,0.998057292820504
LC 682 Val ROC AUC,0.9178757799868649
LC 880 Train ROC AUC,0.9916747690811862
LC 880 Val ROC AUC,0.9182325489993545
