Metric,Value
CV ROC AUC,0.9352144846953235
Test ROC AUC,0.9270268291171682
Mean Abs Error,0.139935675227317
PR AUC,0.6325170236871704
LC 88 Train ROC AUC,0.9951737451737452
LC 88 Val ROC AUC,0.6432385166773328
LC 286 Train ROC AUC,0.9721530659289996
LC 286 Val ROC AUC,0.8728727161102455
LC 484 Train ROC AUC,0.9655570204350692
LC 484 Val ROC AUC,0.9165917917036118
LC 682 Train ROC AUC,0.9634464307015899
LC 682 Val ROC AUC,0.9239970083478836
LC 880 Train ROC AUC,0.9587992221682061
LC 880 Val ROC AUC,0.9242449242256555
