Metric,Value
CV ROC AUC,0.9268371745364143
Test ROC AUC,0.9342987985196951
Mean Abs Error,0.147157328464517
PR AUC,0.6680240412753743
LC 88 Train ROC AUC,1.0
LC 88 Val ROC AUC,0.8958840050008592
LC 286 Train ROC AUC,0.999354541263255
LC 286 Val ROC AUC,0.8847338994970023
LC 484 Train ROC AUC,0.9999340804218854
LC 484 Val ROC AUC,0.9191082536751116
LC 682 Train ROC AUC,0.9999829587089518
LC 682 Val ROC AUC,0.9160500165741301
LC 880 Train ROC AUC,0.9999594879274023
LC 880 Val ROC AUC,0.9124902020026184
