Metric,Value
CV ROC AUC,0.9289591327366538
Test ROC AUC,0.9293869803020317
Mean Abs Error,0.1385497256610101
PR AUC,0.6465238788186274
LC 88 Train ROC AUC,1.0
LC 88 Val ROC AUC,0.8925330444399068
LC 286 Train ROC AUC,0.9984324573536192
LC 286 Val ROC AUC,0.9159747984630615
LC 484 Train ROC AUC,0.9991430454845089
LC 484 Val ROC AUC,0.9264105650239527
LC 682 Train ROC AUC,0.9995569264327464
LC 682 Val ROC AUC,0.9234566165882223
LC 880 Train ROC AUC,0.9999392318911035
LC 880 Val ROC AUC,0.9130025773994639
